Sample_name_simple,Sample_name,Sample_number,Sound_number,mass_ini,mass_0,mass_n,mass_end,f1_ini,a1_ini,f1_0,a1_0,f1_n,a1_n,f1_end,a1_end
L_pl_a_1,S1,1,1,3458.07,3481.07,3481.78,3460.54,2748,0.3712,2590,0.7269,2499.75603,1.017641,2664.80616,0.637452
L_pl_a_2,S1,1,2,3458.07,3481.07,3481.78,3460.54,2748,0.3712,2590,0.7269,2499.75603,1.017641,2664.80616,0.637452
L_pl_a_3,S1,1,3,3458.07,3481.07,3481.78,3460.54,2748,0.3712,2590,0.7269,2499.75603,1.017641,2664.80616,0.637452
L_pl_a_4,S1,1,4,3458.07,3481.07,3481.78,3460.54,2748,0.3712,2590,0.7269,2499.75603,1.017641,2664.80616,0.637452
L_pl_a_5,S1,1,5,3458.07,3481.07,3481.78,3460.54,2748,0.3712,2590,0.7269,2499.75603,1.017641,2664.80616,0.637452
L_pl_a_6,S1,1,6,3458.07,3481.07,3481.78,3460.54,2748,0.3712,2590,0.7269,2499.75603,1.017641,2664.80616,0.637452
L_pl_a_7,S1,1,7,3458.07,3481.07,3481.78,3460.54,2748,0.3712,2590,0.7269,2499.75603,1.017641,2664.80616,0.637452
L_pl_a_8,S1,1,8,3458.07,3481.07,3481.78,3460.54,2748,0.3712,2590,0.7269,2499.75603,1.017641,2664.80616,0.637452
L_pl_a_9,S1,1,9,3458.07,3481.07,3481.78,3460.54,2748,0.3712,2590,0.7269,2499.75603,1.017641,2664.80616,0.637452
L_pl_b_1,S2,2,1,2089.95,2100.36,2100.97,2089.97,3289,0.4162,3165,0.5363,3116.337161,0.565948,3225.219827,0.41985
L_pl_b_2,S2,2,2,2089.95,2100.36,2100.97,2089.97,3289,0.4162,3165,0.5363,3116.337161,0.565948,3225.219827,0.41985
L_pl_b_3,S2,2,3,2089.95,2100.36,2100.97,2089.97,3289,0.4162,3165,0.5363,3116.337161,0.565948,3225.219827,0.41985
L_pl_b_4,S2,2,4,2089.95,2100.36,2100.97,2089.97,3289,0.4162,3165,0.5363,3116.337161,0.565948,3225.219827,0.41985
L_pl_b_5,S2,2,5,2089.95,2100.36,2100.97,2089.97,3289,0.4162,3165,0.5363,3116.337161,0.565948,3225.219827,0.41985
L_pl_b_6,S2,2,6,2089.95,2100.36,2100.97,2089.97,3289,0.4162,3165,0.5363,3116.337161,0.565948,3225.219827,0.41985
L_pl_b_7,S2,2,7,2089.95,2100.36,2100.97,2089.97,3289,0.4162,3165,0.5363,3116.337161,0.565948,3225.219827,0.41985
L_pl_b_8,S2,2,8,2089.95,2100.36,2100.97,2089.97,3289,0.4162,3165,0.5363,3116.337161,0.565948,3225.219827,0.41985
L_pl_b_9,S2,2,9,2089.95,2100.36,2100.97,2089.97,3289,0.4162,3165,0.5363,3116.337161,0.565948,3225.219827,0.41985
L_pl_e_1,S3,3,1,1859.11,1864.19,1860.01,1848.91,1665.211513,0.614394,1579.015947,0.686967,1566.539926,0.768571,1645.608748,0.832996
L_pl_e_2,S3,3,2,1859.11,1864.19,1860.01,1848.91,1665.211513,0.614394,1579.015947,0.686967,1566.539926,0.768571,1645.608748,0.832996
L_pl_e_3,S3,3,3,1859.11,1864.19,1860.01,1848.91,1665.211513,0.614394,1579.015947,0.686967,1566.539926,0.768571,1645.608748,0.832996
L_pl_e_4,S3,3,4,1859.11,1864.19,1860.01,1848.91,1665.211513,0.614394,1579.015947,0.686967,1566.539926,0.768571,1645.608748,0.832996
L_pl_e_5,S3,3,5,1859.11,1864.19,1860.01,1848.91,1665.211513,0.614394,1579.015947,0.686967,1566.539926,0.768571,1645.608748,0.832996
L_pl_e_6,S3,3,6,1859.11,1864.19,1860.01,1848.91,1665.211513,0.614394,1579.015947,0.686967,1566.539926,0.768571,1645.608748,0.832996
L_pl_e_7,S3,3,7,1859.11,1864.19,1860.01,1848.91,1665.211513,0.614394,1579.015947,0.686967,1566.539926,0.768571,1645.608748,0.832996
L_pl_e_8,S3,3,8,1859.11,1864.19,1860.01,1848.91,1665.211513,0.614394,1579.015947,0.686967,1566.539926,0.768571,1645.608748,0.832996
L_pl_e_9,S3,3,9,1859.11,1864.19,1860.01,1848.91,1665.211513,0.614394,1579.015947,0.686967,1566.539926,0.768571,1645.608748,0.832996
L_pt_a2_1,S4,4,1,592.19,595.85,595.58,591.58,5750,0.4005,5519,0.8356,5313.904427,1.026652,5624.842602,0.553029
L_pt_a2_2,S4,4,2,592.19,595.85,595.58,591.58,5750,0.4005,5519,0.8356,5313.904427,1.026652,5624.842602,0.553029
L_pt_a2_3,S4,4,3,592.19,595.85,595.58,591.58,5750,0.4005,5519,0.8356,5313.904427,1.026652,5624.842602,0.553029
L_pt_a3_1,S5,5,1,619.04,622.77,622.71,618.7,5372,0.3811,5170,0.8609,5046.659326,0.880859,5286.781791,0.923733
L_pt_a3_2,S5,5,2,619.04,622.77,622.71,618.7,5372,0.3811,5170,0.8609,5046.659326,0.880859,5286.781791,0.923733
L_pt_a3_3,S5,5,3,619.04,622.77,622.71,618.7,5372,0.3811,5170,0.8609,5046.659326,0.880859,5286.781791,0.923733
L_pt_a4_1,S6,6,1,614.83,618.79,618.26,614.38,5804,0.4269,5550,1.043,5350.004777,1.08274,5687.73804,0.404135
L_pt_a4_2,S6,6,2,614.83,618.79,618.26,614.38,5804,0.4269,5550,1.043,5350.004777,1.08274,5687.73804,0.404135
L_pt_a4_3,S6,6,3,614.83,618.79,618.26,614.38,5804,0.4269,5550,1.043,5350.004777,1.08274,5687.73804,0.404135
L_pt_b2_1,S7,7,1,381.59,383.91,383.64,381.52,5447,0.4508,5313,0.607,5270.619718,0.746196,5376.053898,2.168966
L_pt_b2_2,S7,7,2,381.59,383.91,383.64,381.52,5447,0.4508,5313,0.607,5270.619718,0.746196,5376.053898,2.168966
L_pt_e2_1,S8,8,1,370.4,372.65,372.51,370.3,3370,0.6298,3252,0.8499,3238.966638,0.924462,3361.174649,0.823361
L_pt_e2_2,S8,8,2,370.4,372.65,372.51,370.3,3370,0.6298,3252,0.8499,3238.966638,0.924462,3361.174649,0.823361
L_pt_e2_3,S8,8,3,370.4,372.65,372.51,370.3,3370,0.6298,3252,0.8499,3238.966638,0.924462,3361.174649,0.823361
L_pt_e3_1,S9,9,1,392.69,395.04,394.42,392.16,3622,0.3816,3494,0.7959,3496.006903,0.658781,3640.857381,1.575272
L_pt_e3_2,S9,9,2,392.69,395.04,394.42,392.16,3622,0.3816,3494,0.7959,3496.006903,0.658781,3640.857381,1.575272
L_pt_e3_3,S9,9,3,392.69,395.04,394.42,392.16,3622,0.3816,3494,0.7959,3496.006903,0.658781,3640.857381,1.575272
L_pt_e4_1,S10,10,1,344.41,346.52,346.01,343.84,3115,0.8322,2980.149804,0.966569,2954.945409,0.682226,3075.451996,1.295235
L_pt_e4_2,S10,10,2,344.41,346.52,346.01,343.84,3115,0.8322,2980.149804,0.966569,2954.945409,0.682226,3075.451996,1.295235
L_pt_e4_3,S10,10,3,344.41,346.52,346.01,343.84,3115,0.8322,2980.149804,0.966569,2954.945409,0.682226,3075.451996,1.295235
LG_pl_a_1,S30,30,1,3992.44,4018.93,4019.82,3995.74,3271,0.2937,3203,0.356,3191.232576,0.390951,3248.84396,0.230071
LG_pl_a_2,S30,30,2,3992.44,4018.93,4019.82,3995.74,3271,0.2937,3203,0.356,3191.232576,0.390951,3248.84396,0.230071
LG_pl_a_3,S30,30,3,3992.44,4018.93,4019.82,3995.74,3271,0.2937,3203,0.356,3191.232576,0.390951,3248.84396,0.230071
LG_pl_a_4,S30,30,4,3992.44,4018.93,4019.82,3995.74,3271,0.2937,3203,0.356,3191.232576,0.390951,3248.84396,0.230071
LG_pl_a_5,S30,30,5,3992.44,4018.93,4019.82,3995.74,3271,0.2937,3203,0.356,3191.232576,0.390951,3248.84396,0.230071
LG_pl_a_6,S30,30,6,3992.44,4018.93,4019.82,3995.74,3271,0.2937,3203,0.356,3191.232576,0.390951,3248.84396,0.230071
LG_pl_a_7,S30,30,7,3992.44,4018.93,4019.82,3995.74,3271,0.2937,3203,0.356,3191.232576,0.390951,3248.84396,0.230071
LG_pl_a_8,S30,30,8,3992.44,4018.93,4019.82,3995.74,3271,0.2937,3203,0.356,3191.232576,0.390951,3248.84396,0.230071
LG_pl_a_9,S30,30,9,3992.44,4018.93,4019.82,3995.74,3271,0.2937,3203,0.356,3191.232576,0.390951,3248.84396,0.230071
M_pl_a1_1,S11,11,1,2298.38,2309.98,2311.94,2299.8,2014.886014,0.524576,1955.555341,0.509436,1832.182301,0.82312,1861.886032,0.844448
M_pl_a1_2,S11,11,2,2298.38,2309.98,2311.94,2299.8,2014.886014,0.524576,1955.555341,0.509436,1832.182301,0.82312,1861.886032,0.844448
M_pl_a1_3,S11,11,3,2298.38,2309.98,2311.94,2299.8,2014.886014,0.524576,1955.555341,0.509436,1832.182301,0.82312,1861.886032,0.844448
M_pl_a1_4,S11,11,4,2298.38,2309.98,2311.94,2299.8,2014.886014,0.524576,1955.555341,0.509436,1832.182301,0.82312,1861.886032,0.844448
M_pl_a1_5,S11,11,5,2298.38,2309.98,2311.94,2299.8,2014.886014,0.524576,1955.555341,0.509436,1832.182301,0.82312,1861.886032,0.844448
M_pl_a1_6,S11,11,6,2298.38,2309.98,2311.94,2299.8,2014.886014,0.524576,1955.555341,0.509436,1832.182301,0.82312,1861.886032,0.844448
M_pl_a1_7,S11,11,7,2298.38,2309.98,2311.94,2299.8,2014.886014,0.524576,1955.555341,0.509436,1832.182301,0.82312,1861.886032,0.844448
M_pl_a1_8,S11,11,8,2298.38,2309.98,2311.94,2299.8,2014.886014,0.524576,1955.555341,0.509436,1832.182301,0.82312,1861.886032,0.844448
M_pl_a1_9,S11,11,9,2298.38,2309.98,2311.94,2299.8,2014.886014,0.524576,1955.555341,0.509436,1832.182301,0.82312,1861.886032,0.844448
M_pl_a2_1,S12,12,1,2291.54,2304.16,2301.02,2288.35,1531.468471,1.218534,1523.199245,1.825162,1395.845567,5.616028,1101.290582,5.592593
M_pl_a2_2,S12,12,2,2291.54,2304.16,2301.02,2288.35,1531.468471,1.218534,1523.199245,1.825162,1395.845567,5.616028,1101.290582,5.592593
M_pl_a2_3,S12,12,3,2291.54,2304.16,2301.02,2288.35,1531.468471,1.218534,1523.199245,1.825162,1395.845567,5.616028,1101.290582,5.592593
M_pl_a2_4,S12,12,4,2291.54,2304.16,2301.02,2288.35,1531.468471,1.218534,1523.199245,1.825162,1395.845567,5.616028,1101.290582,5.592593
M_pl_a2_5,S12,12,5,2291.54,2304.16,2301.02,2288.35,1531.468471,1.218534,1523.199245,1.825162,1395.845567,5.616028,1101.290582,5.592593
M_pl_a2_6,S12,12,6,2291.54,2304.16,2301.02,2288.35,1531.468471,1.218534,1523.199245,1.825162,1395.845567,5.616028,1101.290582,5.592593
M_pl_a2_7,S12,12,7,2291.54,2304.16,2301.02,2288.35,1531.468471,1.218534,1523.199245,1.825162,1395.845567,5.616028,1101.290582,5.592593
M_pl_a2_8,S12,12,8,2291.54,2304.16,2301.02,2288.35,1531.468471,1.218534,1523.199245,1.825162,1395.845567,5.616028,1101.290582,5.592593
M_pl_a2_9,S12,12,9,2291.54,2304.16,2301.02,2288.35,1531.468471,1.218534,1523.199245,1.825162,1395.845567,5.616028,1101.290582,5.592593
M_pl_b_1,S13,13,1,2362.45,2375.86,2376.4,2362.31,2060.244079,0.342073,2000.822838,0.42474,2005.202916,0.555311,2064.936877,0.866313
M_pl_b_2,S13,13,2,2362.45,2375.86,2376.4,2362.31,2060.244079,0.342073,2000.822838,0.42474,2005.202916,0.555311,2064.936877,0.866313
M_pl_b_3,S13,13,3,2362.45,2375.86,2376.4,2362.31,2060.244079,0.342073,2000.822838,0.42474,2005.202916,0.555311,2064.936877,0.866313
M_pl_b_4,S13,13,4,2362.45,2375.86,2376.4,2362.31,2060.244079,0.342073,2000.822838,0.42474,2005.202916,0.555311,2064.936877,0.866313
M_pl_b_5,S13,13,5,2362.45,2375.86,2376.4,2362.31,2060.244079,0.342073,2000.822838,0.42474,2005.202916,0.555311,2064.936877,0.866313
M_pl_b_6,S13,13,6,2362.45,2375.86,2376.4,2362.31,2060.244079,0.342073,2000.822838,0.42474,2005.202916,0.555311,2064.936877,0.866313
M_pl_b_7,S13,13,7,2362.45,2375.86,2376.4,2362.31,2060.244079,0.342073,2000.822838,0.42474,2005.202916,0.555311,2064.936877,0.866313
M_pl_b_8,S13,13,8,2362.45,2375.86,2376.4,2362.31,2060.244079,0.342073,2000.822838,0.42474,2005.202916,0.555311,2064.936877,0.866313
M_pl_b_9,S13,13,9,2362.45,2375.86,2376.4,2362.31,2060.244079,0.342073,2000.822838,0.42474,2005.202916,0.555311,2064.936877,0.866313
M_pl_c_1,S14,14,1,3691.05,3703.01,3707.27,3694.67,3058.309851,0.275313,2986,0.3288,2964.300091,0.436092,3017.978081,0.33892
M_pl_c_2,S14,14,2,3691.05,3703.01,3707.27,3694.67,3058.309851,0.275313,2986,0.3288,2964.300091,0.436092,3017.978081,0.33892
M_pl_c_3,S14,14,3,3691.05,3703.01,3707.27,3694.67,3058.309851,0.275313,2986,0.3288,2964.300091,0.436092,3017.978081,0.33892
M_pl_c_4,S14,14,4,3691.05,3703.01,3707.27,3694.67,3058.309851,0.275313,2986,0.3288,2964.300091,0.436092,3017.978081,0.33892
M_pl_c_5,S14,14,5,3691.05,3703.01,3707.27,3694.67,3058.309851,0.275313,2986,0.3288,2964.300091,0.436092,3017.978081,0.33892
M_pl_c_6,S14,14,6,3691.05,3703.01,3707.27,3694.67,3058.309851,0.275313,2986,0.3288,2964.300091,0.436092,3017.978081,0.33892
M_pl_c_7,S14,14,7,3691.05,3703.01,3707.27,3694.67,3058.309851,0.275313,2986,0.3288,2964.300091,0.436092,3017.978081,0.33892
M_pl_c_8,S14,14,8,3691.05,3703.01,3707.27,3694.67,3058.309851,0.275313,2986,0.3288,2964.300091,0.436092,3017.978081,0.33892
M_pl_c_9,S14,14,9,3691.05,3703.01,3707.27,3694.67,3058.309851,0.275313,2986,0.3288,2964.300091,0.436092,3017.978081,0.33892
M_pl_f_1,S15,15,1,3158.31,3165.2,3168.6,3161.01,2825.27354,0.329002,2773.251915,0.402695,2770.3015,0.379047,2817.472917,0.515376
M_pl_f_2,S15,15,2,3158.31,3165.2,3168.6,3161.01,2825.27354,0.329002,2773.251915,0.402695,2770.3015,0.379047,2817.472917,0.515376
M_pl_f_3,S15,15,3,3158.31,3165.2,3168.6,3161.01,2825.27354,0.329002,2773.251915,0.402695,2770.3015,0.379047,2817.472917,0.515376
M_pl_f_4,S15,15,4,3158.31,3165.2,3168.6,3161.01,2825.27354,0.329002,2773.251915,0.402695,2770.3015,0.379047,2817.472917,0.515376
M_pl_f_5,S15,15,5,3158.31,3165.2,3168.6,3161.01,2825.27354,0.329002,2773.251915,0.402695,2770.3015,0.379047,2817.472917,0.515376
M_pl_f_6,S15,15,6,3158.31,3165.2,3168.6,3161.01,2825.27354,0.329002,2773.251915,0.402695,2770.3015,0.379047,2817.472917,0.515376
M_pl_f_7,S15,15,7,3158.31,3165.2,3168.6,3161.01,2825.27354,0.329002,2773.251915,0.402695,2770.3015,0.379047,2817.472917,0.515376
M_pl_f_8,S15,15,8,3158.31,3165.2,3168.6,3161.01,2825.27354,0.329002,2773.251915,0.402695,2770.3015,0.379047,2817.472917,0.515376
M_pl_f_9,S15,15,9,3158.31,3165.2,3168.6,3161.01,2825.27354,0.329002,2773.251915,0.402695,2770.3015,0.379047,2817.472917,0.515376
M_pt_a2_1,S16,16,1,406.72,408.97,409.1,406.6,4472,0.5842,4404,0.9945,3786.597951,1.935203,1653.087532,7.785392
M_pt_a2_2,S16,16,2,406.72,408.97,409.1,406.6,4472,0.5842,4404,0.9945,3786.597951,1.935203,1653.087532,7.785392
M_pt_a2_3,S16,16,3,406.72,408.97,409.1,406.6,4472,0.5842,4404,0.9945,3786.597951,1.935203,1653.087532,7.785392
M_pt_a3_1,S17,17,1,400.5,402.79,402.82,400.48,4498,0.2363,4388,0.5915,4234.542892,0.70533,4292.952372,0.821473
M_pt_a3_2,S17,17,2,400.5,402.79,402.82,400.48,4498,0.2363,4388,0.5915,4234.542892,0.70533,4292.952372,0.821473
M_pt_a3_3,S17,17,3,400.5,402.79,402.82,400.48,4498,0.2363,4388,0.5915,4234.542892,0.70533,4292.952372,0.821473
M_pt_a4_1,S18,18,1,395.9,398.37,397.82,395.56,4719,0.7873,4596,0.8113,4609.862625,0.621888,4710.225148,1.294932
M_pt_a4_2,S18,18,2,395.9,398.37,397.82,395.56,4719,0.7873,4596,0.8113,4609.862625,0.621888,4710.225148,1.294932
M_pt_a4_3,S18,18,3,395.9,398.37,397.82,395.56,4719,0.7873,4596,0.8113,4609.862625,0.621888,4710.225148,1.294932
M_pt_b2_1,S19,19,1,415.23,418.31,416.18,413.45,4536,0.4171,4411,0.7588,4414.547779,0.553551,4509.984169,0.52142
M_pt_b2_2,S19,19,2,415.23,418.31,416.18,413.45,4536,0.4171,4411,0.7588,4414.547779,0.553551,4509.984169,0.52142
M_pt_b2_3,S19,19,3,415.23,418.31,416.18,413.45,4536,0.4171,4411,0.7588,4414.547779,0.553551,4509.984169,0.52142
M_pt_b3_1,S20,20,1,387.08,389.91,388.16,0,4571,0.3748,4462,0.7244,3491.377094,4.810917,0,0
M_pt_b3_2,S20,20,2,387.08,389.91,388.16,0,4571,0.3748,4462,0.7244,3491.377094,4.810917,0,0
M_pt_b3_3,S20,20,3,387.08,389.91,388.16,0,4571,0.3748,4462,0.7244,3491.377094,4.810917,0,0
M_pt_b4_1,S21,21,1,461.26,463.84,463.18,461.14,4823.929005,0.448384,4706.268518,0.687095,4718.767208,0.632447,4806.035775,0.460928
M_pt_b4_2,S21,21,2,461.26,463.84,463.18,461.14,4823.929005,0.448384,4706.268518,0.687095,4718.767208,0.632447,4806.035775,0.460928
M_pt_b4_3,S21,21,3,461.26,463.84,463.18,461.14,4823.929005,0.448384,4706.268518,0.687095,4718.767208,0.632447,4806.035775,0.460928
M_pt_c2_1,S22,22,1,770.46,773.34,773.45,770.71,6597,0.3265,6472,0.5026,6511.467085,0.740086,6579.784775,0.490511
M_pt_c2_2,S22,22,2,770.46,773.34,773.45,770.71,6597,0.3265,6472,0.5026,6511.467085,0.740086,6579.784775,0.490511
M_pt_c2_3,S22,22,3,770.46,773.34,773.45,770.71,6597,0.3265,6472,0.5026,6511.467085,0.740086,6579.784775,0.490511
M_pt_c3_1,S23,23,1,671.97,674.62,674.68,672.02,6197,0.3835,6073,0.5518,6062.192123,0.558998,6168.036091,0.694609
M_pt_c3_2,S23,23,2,671.97,674.62,674.68,672.02,6197,0.3835,6073,0.5518,6062.192123,0.558998,6168.036091,0.694609
M_pt_c3_3,S23,23,3,671.97,674.62,674.68,672.02,6197,0.3835,6073,0.5518,6062.192123,0.558998,6168.036091,0.694609
M_pt_c4_1,S24,24,1,743.79,746.32,745.79,743.06,6406,0.4422,6305,0.5659,6332.153106,1.155542,6426.79265,0.769807
M_pt_c4_2,S24,24,2,743.79,746.32,745.79,743.06,6406,0.4422,6305,0.5659,6332.153106,1.155542,6426.79265,0.769807
M_pt_c4_3,S24,24,3,743.79,746.32,745.79,743.06,6406,0.4422,6305,0.5659,6332.153106,1.155542,6426.79265,0.769807
P_pl_a_1,S31,31,1,1636.5,1657.55,1656.34,1636.62,3020,0.4311,2943,0.3937,2854.714907,0.373521,2906.21575,0.454652
P_pl_a_2,S31,31,2,1636.5,1657.55,1656.34,1636.62,3020,0.4311,2943,0.3937,2854.714907,0.373521,2906.21575,0.454652
P_pl_a_3,S31,31,3,1636.5,1657.55,1656.34,1636.62,3020,0.4311,2943,0.3937,2854.714907,0.373521,2906.21575,0.454652
P_pl_a_4,S31,31,4,1636.5,1657.55,1656.34,1636.62,3020,0.4311,2943,0.3937,2854.714907,0.373521,2906.21575,0.454652
P_pl_a_5,S31,31,5,1636.5,1657.55,1656.34,1636.62,3020,0.4311,2943,0.3937,2854.714907,0.373521,2906.21575,0.454652
P_pl_a_6,S31,31,6,1636.5,1657.55,1656.34,1636.62,3020,0.4311,2943,0.3937,2854.714907,0.373521,2906.21575,0.454652
P_pl_a_7,S31,31,7,1636.5,1657.55,1656.34,1636.62,3020,0.4311,2943,0.3937,2854.714907,0.373521,2906.21575,0.454652
P_pl_a_8,S31,31,8,1636.5,1657.55,1656.34,1636.62,3020,0.4311,2943,0.3937,2854.714907,0.373521,2906.21575,0.454652
P_pl_a_9,S31,31,9,1636.5,1657.55,1656.34,1636.62,3020,0.4311,2943,0.3937,2854.714907,0.373521,2906.21575,0.454652
S_pl_a_1,S25,25,1,0,1965.94,1971.9,0,2384.185089,0.305304,2219,0.6633,1990.170771,1.152276,0,0
S_pl_a_2,S25,25,2,0,1965.94,1971.9,0,2384.185089,0.305304,2219,0.6633,1990.170771,1.152276,0,0
S_pl_a_3,S25,25,3,0,1965.94,1971.9,0,2384.185089,0.305304,2219,0.6633,1990.170771,1.152276,0,0
S_pl_a_4,S25,25,4,0,1965.94,1971.9,0,2384.185089,0.305304,2219,0.6633,1990.170771,1.152276,0,0
S_pl_a_5,S25,25,5,0,1965.94,1971.9,0,2384.185089,0.305304,2219,0.6633,1990.170771,1.152276,0,0
S_pl_a_6,S25,25,6,0,1965.94,1971.9,0,2384.185089,0.305304,2219,0.6633,1990.170771,1.152276,0,0
S_pl_a_7,S25,25,7,0,1965.94,1971.9,0,2384.185089,0.305304,2219,0.6633,1990.170771,1.152276,0,0
S_pl_a_8,S25,25,8,0,1965.94,1971.9,0,2384.185089,0.305304,2219,0.6633,1990.170771,1.152276,0,0
S_pl_a_9,S25,25,9,0,1965.94,1971.9,0,2384.185089,0.305304,2219,0.6633,1990.170771,1.152276,0,0
S_pl_d_1,S26,26,1,4230.6,4334.35,4343.61,4234.34,3740,0.2481,3329,0.7683,3119.234401,1.148756,3570.086107,0.465784
S_pl_d_2,S26,26,2,4230.6,4334.35,4343.61,4234.34,3740,0.2481,3329,0.7683,3119.234401,1.148756,3570.086107,0.465784
S_pl_d_3,S26,26,3,4230.6,4334.35,4343.61,4234.34,3740,0.2481,3329,0.7683,3119.234401,1.148756,3570.086107,0.465784
S_pl_d_4,S26,26,4,4230.6,4334.35,4343.61,4234.34,3740,0.2481,3329,0.7683,3119.234401,1.148756,3570.086107,0.465784
S_pl_d_6,S26,26,6,4230.6,4334.35,4343.61,4234.34,3740,0.2481,3329,0.7683,3119.234401,1.148756,3570.086107,0.465784
S_pl_d_7,S26,26,7,4230.6,4334.35,4343.61,4234.34,3740,0.2481,3329,0.7683,3119.234401,1.148756,3570.086107,0.465784
S_pl_d_8,S26,26,8,4230.6,4334.35,4343.61,4234.34,3740,0.2481,3329,0.7683,3119.234401,1.148756,3570.086107,0.465784
S_pl_d_9,S26,26,9,4230.6,4334.35,4343.61,4234.34,3740,0.2481,3329,0.7683,3119.234401,1.148756,3570.086107,0.465784
S_pt_d2_1,S27,27,1,617.75,632.41,633.89,617.39,9348,0.6028,8630,1.47,4537.750205,4.959572,7104.522742,0.681352
S_pt_d2_3,S27,27,3,617.75,632.41,633.89,617.39,9348,0.6028,8630,1.47,4537.750205,4.959572,7104.522742,0.681352
S_pt_d3_3,S28,28,3,0,0,0,0,8478,0.9505,7892,1.421,5652.558195,6.901939,0,0
S_pt_d4_2,S29,29,2,0,0,0,0,9207,0.899,8621,1.066,4549.123918,2.330161,0,0
S_pt_d4_3,S29,29,3,0,0,0,0,9207,0.899,8621,1.066,4549.123918,2.330161,0,0